Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,QC,QC,QC,QC,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,QC,QC,QC,QC,CU,CU,CU
115.0192958,2427.8086,2042.3467,2257.873,1939.1982,2129.3398,2325.2422,2331.8008,2139.5059,2219.3184,2069.3535,2174.414,2421.129,2625.832
115.0195665,17943.438,17478.516,95419.25,18854.219,96051.75,101283.06,37662.78,40158.156,42287.406,43010.406,20060.016,22256.594,20790.64
115.0387335,2245.373,2259.33,0,2507.2969,0,0,1632.3301,1150.0176,1206.9326,1614.7139,3044.6953,3001.8594,3002.1953
115.03878,5634.8984,5394.176,0,6126.1406,861.82715,0,2496.0254,2704.3242,3061.5645,3556.455,6304.1914,7023.504,6989.246
115.0538264,0,0,8879.6875,0,9339.773,10129.461,3759.537,3767.67,4729.879,4820.4453,3973.4023,4001.3984,4630.5156
115.9199292,8431.336,7220.535,8823.852,7171.6797,8140.8125,8465.164,8852.031,8389.039,8018.078,6737.703,9862.695,8563.039,8815.242
115.988782,32735.031,31847.219,29975.812,32596.172,28561.625,27742.547,32168.453,31290.375,33995.625,34245.906,37939.375,37503.375,39211.062
116.0492056,14768.602,13599.031,2568.0508,13546.047,3201.0078,2919.9668,7341.953,7933.578,8797.406,8905.016,11060.484,11212.914,10761.398
116.049432,2894.4648,2753.8555,1152.7754,2819.1543,901.16943,1082.8271,1248.21,1282.5273,1270.9404,1366.6543,3527.246,4057.3867,4186.3164
116.9276167,33607.094,37231.094,31280.75,38349.438,30860.156,33061.344,43435.906,44771.47,54021.406,56341.062,104396.125,98989.5,103600.75
116.9276186,49092.906,51302.53,47161.094,52201.188,46555.844,49603.062,47627.906,47994.656,57081.188,60412.03,78934.375,77175.5,81748.56
116.9276276,48600.03,48652.25,46897.594,47163.094,48645.78,47211.656,54182.906,56843.78,58873.594,61324.656,87455.06,87272.81,96493.25
116.927699,41481.188,36556.656,107757.06,33960.438,94490.75,101570.19,140398.88,144446.88,163959.5,178157.25,270310,259147,252892.12
116.9277213,174185.25,147982.75,190289.88,115329.5,172128.5,183733.5,337151.25,340940.5,376515.25,399071,531826.5,529797.5,540721.5
116.9731244,5739.2227,6885.965,8152.215,8153.7383,7453.3086,7751.0625,9315,9680.422,12097.578,13287.516,13015.523,15200.75,14938.227
116.9734698,8216.297,6949.5273,8858.43,5589.117,7476.8594,8090.082,15193.461,14757.0625,16937.328,20538.625,23290.016,25437.797,26414.922
116.9856049,35603.938,35540.562,32475.719,35842.344,31394.297,30754.86,35749.375,34956.47,37304.28,38884.156,42641.938,41297.47,43743.594
117.0174263,5280.914,5110.461,965.00195,5326.8555,1319.6758,1050.8223,3757.4648,3821.2773,3948.5176,3889.6426,6083.621,5837.785,5269.707
117.0176735,3086.873,3264,1326.2852,3936.5566,1166.2051,1610.4678,3549.1309,3275.7578,3634.2402,4053.7266,1693.0527,2244.545,2192.0234
117.0179995,20190.922,18312.031,6203.5117,19114.484,6072.3984,5996.914,13090.9375,13187.094,13026.594,15134.594,19165.875,18679.953,19859.344
117.0183599,3565.4316,3349.1836,1776.4727,3364.918,2276.3516,2080.668,2233.6172,2275.7812,2577.8105,2774.0762,2019.917,1798.8457,1936.2656
117.0331361,665.4131,612.9888,9134.445,875.82666,8508.625,8089.3438,4996.008,4769.957,5003.953,5434.1484,1013.1299,948.0884,1007.17236
117.0332116,944.9263,961.08887,5886.199,926.5869,6125.039,5589.1797,2941.7578,2975,3173.5898,3899.1562,1042.9756,813.3325,964.2549
117.0333373,50404.22,47141.53,3271.2812,50502.156,3558.088,3655.0469,16425.766,17208.047,18154.078,19819.64,19309.203,19070.375,22805.844
117.0334677,0,0,3485.5234,0,3444.418,3578.752,1901.4131,1939.8057,2038.0684,2293.9512,2355.627,2102.3203,2382.6602
117.0335599,2839.5176,2285.3027,1059.3086,2611.7383,1252.1055,731,1801.0938,1858.6611,2350.2031,2661.7383,2165.2754,1976.8936,2085.0293
117.0372863,979,962.0781,1107.1318,0,912.45215,961.17773,5588.211,6324.035,8674.648,9349.336,17418.172,18188.11,19107.188
