Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,CU,CU,CU
125.0234769,11513.9375,12284.633,291762.75,12800.906,310051.25,316980.75,8887.039,8974.031,9641.781
125.0235615,20798.062,20078.078,224306.75,20608.266,223099.25,221331.38,7582.703,7533.7812,9150.664
125.0235627,22922.86,22306.344,111020.125,22428.734,116778.625,115752.625,7841.8984,8858.844,8323.805
125.0235914,34526.312,35853.22,356742.5,35940.406,372391.25,374470.5,25987.688,27944.953,28007.172
125.0956517,3607.33,3588.713,3715.6758,3938.3047,3653.1777,3048.875,15240.031,14669.844,14824.719
125.0957201,1764.9326,1344.4502,781.5083,1630.2441,841.73535,919.86865,8344.227,6889.6016,7664.586
125.0957349,936.47705,1127.9277,1754.7852,1003,1628.5371,1770.8115,6486.3125,5859.176,6571.6836
125.0957418,3551.705,3874.5098,2163.129,3864.4922,2246,2122.8398,12625.664,12758.977,11004.828
125.0958259,1750.8877,2193.537,1433.7324,2246.9512,1599.041,1553.0508,8860.32,8323.961,9426.297
125.0958718,1888,2322.582,1344.5518,1841.4355,1231,1247.8809,8150.8164,7533.41,8378.547
125.0958811,1816.3066,1817.334,2250.752,1893.2188,2404.207,2328.043,3501.9648,3435.457,3477.9238
125.0958857,3129,3441,14153.211,3420.2695,14181.219,13401.227,10889.008,10463.375,11758.453
125.8984881,6366.793,6628.918,6911.0195,7002.9375,7706.086,7643.707,8634.766,8307.742,10197.648
125.8985039,7344.793,6757.1484,8488.219,7386.168,8029.1484,8495.297,5979.547,6085.6562,5767.258
126.0262612,1730,2166.166,10538.5,1902.5391,10105.453,9733.586,993.7363,710.86475,690.272
126.8796858,2404.8438,2462,2697.6484,2650.9062,2316.42,2614.1562,2519.4707,2408.8438,2453.7988
126.8797029,3198.8398,3302.955,3565.3027,3708.5254,3251.6758,3349.9785,3292.748,3576.8594,3225.9004
126.8797116,2630.168,2918.6484,2623.912,2759.3535,2493.4004,2614.1562,2519.4707,2797.8828,2558.2227
126.8797497,6001.008,6273.2695,5315.9805,6645.8477,5702.785,5797.2266,5233.8203,5685.6484,5696.7734
127.0193188,7564.7383,6510.383,18411.812,6028.547,21309.594,19466.406,11537.281,14132.773,13596
127.0383035,1369.7363,1349.5596,4302.5547,1334.8691,2687.291,3527.3613,3267.4238,3284.1836,3569.2734
